date,season,home_team,away_team,wday,midweek,points_home,points_away,fthg,ftag,hs,as,hst,ast,hf,af,hy,ay,hr,ar,hc,ac,acn,before_national_comps,after_national_comps,capacity,distance,ln_capacity,season_part,ht_promoted,at_promoted,ht_mv,at_mv,ht_short_week,at_short_week,rm_hs,rm_as,rm_hst,rm_ast,rm_fthg,rm_ftag,rm_hc,rm_ac,rm_hf,rm_af,rm_hy,rm_ay,rm_hr,rm_ar,h,a,d,expected_points_ht,expected_points_at,rm_exp_points_ht,rm_exp_points_at,dec_mar,diff_rm_exp_points,ht_outcome,ht_points,w
2009-10-04,2009-10,Chelsea,Liverpool,1,0,3,0,2,0,12,12,8,3,14,17,1,1,0,0,5,8,0,0,0,40834,286982.74520667293,10.617270346696145,beginning,0,0,$497.15m,$364.71m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43795048394730174,0.27419009453602833,0.28785942151666993,1.3138514518419053,0.822570283608085,1.8301078455428064,1.8576799062491924,0,-0.02757206070638607,1,3,1.069175431940393
2009-10-04,2009-10,Everton,Stoke,1,0,1,1,1,1,24,8,17,6,5,15,1,3,0,0,11,4,0,0,0,39572,72731.16452991485,10.585877076443113,beginning,0,0,$240.82m,$88.72m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5963132716459354,0.15358776704893815,0.2500989613051264,1.7889398149378062,0.4607633011468144,1.4578898320420535,0.47803604921077636,0,0.9798537828312771,0,0,1.0977237033772815
2009-10-04,2009-10,West Ham,Fulham,1,0,1,1,2,2,20,10,10,6,12,9,3,2,0,1,8,4,0,0,0,60000,15892.265863032859,11.002099841204238,beginning,0,0,$133.93m,$111.57m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.437280054172461,0.2776444004073628,0.28507554542017616,1.311840162517383,0.8329332012220885,0.7545480279029234,0.8527470426551453,0,-0.09819901475222192,0,0,1.1071041326149764
2009-10-05,2009-10,Aston Villa,Man City,2,0,1,1,1,1,12,9,6,7,10,8,1,2,0,0,6,6,0,0,0,42749,110470.54397636351,10.663101082278448,beginning,0,0,$184.11m,$343.75m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3559848808437387,0.35879065115565345,0.2852244680006079,1.067954642531216,1.0763719534669605,1.3833141037543115,1.1321733828525524,0,0.2511407209017591,0,0,1.091953799945753
2009-10-17,2009-10,Arsenal,Birmingham,7,0,3,0,3,1,20,3,12,2,8,16,1,2,0,0,7,3,0,0,0,60704,158241.76183965072,11.013764872734741,beginning,0,1,$345.73m,$76.62m,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7977588478824941,0.05931124488810033,0.14292990722940563,2.3932765436474823,0.17793373466430099,2.185999008667958,0.8239498707435535,0,1.3620491379244046,1,3,1.0851361075487895
2009-10-17,2009-10,Aston Villa,Chelsea,7,0,3,0,2,1,7,21,5,13,19,13,2,1,0,0,6,9,0,0,0,42749,162965.59313213508,10.663101082278448,beginning,0,0,$184.11m,$497.15m,0,0,8.75,13.25,5,8.75,1.75,0.5,7,6,13.75,10.5,1.5,1.25,0,0,0.21603981526096255,0.5143141958796436,0.26964598885939395,0.6481194457828876,1.5429425876389307,1.2319338341672497,1.7137376770825,0,-0.48180384291525025,1,3,1.0844900412937073
2009-10-17,2009-10,Everton,Wolves,7,0,1,1,1,1,13,12,5,6,6,15,1,3,0,1,6,5,0,0,0,39572,109800.59369584547,10.585877076443113,beginning,0,1,$240.82m,$72.02m,0,0,20.25,9.75,11.75,5.75,1.75,0.75,8.75,4,9.25,18,1,3.25,0,0.25,0.6451720420864608,0.1271169326337742,0.22771102527976497,1.9355161262593825,0.38135079790132254,1.6881687060212658,0.8559526655704239,0,0.8322160404508419,0,0,1.092053195931053
2009-10-17,2009-10,Man United,Bolton,7,0,3,0,2,1,13,15,7,7,15,8,0,1,0,0,13,1,0,0,0,74140,21854.902159486115,11.213710476704723,beginning,0,0,$423.36m,$94.38m,0,0,15.25,9.5,7.75,4.75,2.5,1.75,11,2,15.5,13,1.75,3,0,0.25,0.7683965578031188,0.07089257305292597,0.16071086914395527,2.305189673409356,0.21267771915877792,2.1024177530355925,0.7859969135721228,0,1.3164208394634698,1,3,1.106079235501519
2009-10-17,2009-10,Portsmouth,Tottenham,7,0,0,3,1,2,23,9,13,4,14,13,3,3,1,1,10,9,0,0,0,20620,112934.54004314027,9.934016757570951,beginning,0,0,$106.32m,$289.88m,0,0,17.75,11.75,10.5,6.5,0.75,1.75,6.25,7.75,14.25,13.5,1.75,1.75,0.25,0.25,0.2092558095822269,0.5215320959878481,0.269212094429925,0.6277674287466807,1.5645962879635444,0.617396258743238,1.3813331016861838,0,-0.7639368429429458,0,-3,1.0915891558907713
2009-10-17,2009-10,Stoke,West Ham,7,0,3,0,2,1,11,12,4,11,16,13,3,3,0,0,5,6,0,0,0,30089,218351.0649859294,10.311914935439406,beginning,0,0,$88.72m,$133.93m,0,0,7.5,13,3.5,8.5,1,1.25,5.25,9.25,11.75,10,1.75,2.25,0,0,0.44433780999325057,0.270890301082524,0.2847718889242254,1.3330134299797516,0.812670903247572,0.7270257012415595,0.7352549264893053,0,-0.00822922524774583,1,3,1.0772711004922215
